repo,stargazers,watchers,forks,topics,issues,commits,unique labels,content files
torvalds/linux,142449,142449,45722,[],312,1138605,[],"['.clang-format', '.cocciconfig', '.get_maintainer.ignore', '.gitattributes', '.gitignore', '.mailmap', '.rustfmt.toml', 'COPYING', 'CREDITS', 'Documentation', 'Kbuild', 'Kconfig', 'LICENSES', 'MAINTAINERS', 'Makefile', 'README', 'arch', 'block', 'certs', 'crypto', 'drivers', 'fs', 'include', 'init', 'io_uring', 'ipc', 'kernel', 'lib', 'mm', 'net', 'rust', 'samples', 'scripts', 'security', 'sound', 'tools', 'usr', 'virt']"
shadowsocks/shadowsocks-windows,55502,55502,16345,"['shadowsocks', 'c-sharp', 'proxy']",118,1718,"['cannot reproduce', 'dependencies', 'i18n', 'internal', 'need discussion', 'new feature', 'not a bug', 'not following template', 'pac', 'plugins', 'pr/conflict', 'pr/need-action', 'pull requests welcome', 'spam', 'stream ciphers', 'system proxy', 'third-party bug', 'too vague', 'unconfirmed', 'windows bug']","['.editorconfig', '.gitattributes', '.github', '.gitignore', 'CHANGES', 'CONTRIBUTING.md', 'LICENSE.txt', 'README.md', 'Shadowsocks.CLI', 'Shadowsocks.Interop', 'Shadowsocks.Net', 'Shadowsocks.PAC', 'Shadowsocks.Protobuf', 'Shadowsocks.Protocol', 'Shadowsocks.Tests', 'Shadowsocks.WPF.Tests', 'Shadowsocks.WPF', 'Shadowsocks', 'nuget.config', 'shadowsocks-windows.sln']"
tensorflow/tensorflow,169483,169483,87515,"['tensorflow', 'machine-learning', 'python', 'deep-learning', 'deep-neural-networks', 'neural-network', 'ml', 'distributed']",2374,139629,"['1.4.0', '1.9', '2.6.0', 'API review', 'awaiting PR merge', 'awaiting review', 'build and push to gcr.io for staging', 'cla: no', 'cla: yes', 'comp:apis', 'comp:autograph', 'comp:cloud', 'comp:core', 'comp:data', 'comp:dist-strat', 'comp:eager', 'comp:gpu', 'comp:gpu:tensorrt', 'comp:grappler', 'comp:keras', 'comp:lite', 'comp:lite-examples', 'comp:lite-flex', 'comp:lite-kernels', 'comp:lite-support', 'comp:lite-tosa', 'comp:lite-xnnpack', 'comp:micro', 'comp:mkl', 'comp:model', 'comp:ops', 'comp:runtime', 'comp:signal', 'comp:tensorboard', 'comp:tf.function', 'comp:tfdbg', 'comp:tpus', 'comp:xla', 'comp.gpu.tensorrt', 'contrib', 'dependencies', 'Fixed in Nightly', 'kokoro:force-run', 'ModelOptimizationToolkit', 'prime', 'prtype:bugfix', 'python', 'ready to pull', 'regression issue', 'release', 'RNN', 'size:L', 'size:M', 'size:S', 'size:XL', 'size:XS', 'stalled', 'stat:awaiting response', 'stat:awaiting tensorflower', 'stat:community support', 'stat:contributions welcome', 'subtype: raspberry pi', 'subtype: ubuntu/linux', 'subtype:bazel', 'subtype:centos', 'subtype:macOS', 'subtype:windows', 'TF 1.12', 'TF 1.13', 'TF 1.14', 'TF 1.15', 'TF 1.5.0', 'TF 2.0', 'TF 2.1', 'TF 2.10', 'TF 2.11', 'TF 2.2', 'TF 2.3', 'TF 2.4', 'TF 2.5', 'TF 2.6.0-rc0', 'TF 2.7', 'TF 2.8', 'TF 2.9', 'TFLiteConverter', 'TFLiteGooglePlayServices', 'TFLiteGpuDelegate', 'TFLiteHexagonDelegate', 'TFLiteNNAPIDelegate', 'type:bug', 'type:build/install', 'type:docs-bug', 'type:docs-feature', 'type:feature', 'type:internal-todo', 'type:others', 'type:performance', 'type:support', 'waiting for patch release', 'WIP', 'wsl2']","['.bazelrc', '.bazelversion', '.clang-format', '.github', '.gitignore', '.pylintrc', '.zenodo.json', 'AUTHORS', 'BUILD', 'CITATION.cff', 'CODEOWNERS', 'CODE_OF_CONDUCT.md', 'CONTRIBUTING.md', 'ISSUES.md', 'ISSUE_TEMPLATE.md', 'LICENSE', 'README.md', 'RELEASE.md', 'SECURITY.md', 'WORKSPACE', 'arm_compiler.BUILD', 'configure', 'configure.cmd', 'configure.py', 'models.BUILD', 'tensorflow', 'third_party', 'tools']"
TheAlgorithms/Python,149549,149549,38394,"['python', 'algorithm', 'algorithms-implemented', 'algorithm-competitions', 'algos', 'sorts', 'searches', 'sorting-algorithms', 'education', 'learn', 'practice', 'community-driven', 'interview', 'hacktoberfest']",111,2705,"['algorithmic functions should not print', 'awaiting changes', 'awaiting merge', 'awaiting reviews', 'awaiting triage', 'bugfix', 'DO-NOT-MERGE', 'duplicate files', 'hacktoberfest', 'hacktoberfest-accepted', 'merge conflicts', 'multiple algorithms not allowed', 'No Response', 'on hold', 'ON HOLD: Final hours of Hacktoberfest 2022', 'Plagiarism!!', 'require descriptive names', 'require optimization', 'require proper documentation', 'require tests', 'require type hints', 'stale', 'tests are failing']","['.flake8', '.gitattributes', '.github', '.gitignore', '.gitpod.yml', '.pre-commit-config.yaml', 'CONTRIBUTING.md', 'DIRECTORY.md', 'LICENSE.md', 'README.md', 'arithmetic_analysis', 'audio_filters', 'backtracking', 'bit_manipulation', 'blockchain', 'boolean_algebra', 'cellular_automata', 'ciphers', 'compression', 'computer_vision', 'conversions', 'data_structures', 'digital_image_processing', 'divide_and_conquer', 'dynamic_programming', 'electronics', 'file_transfer', 'financial', 'fractals', 'fuzzy_logic', 'genetic_algorithm', 'geodesy', 'graphics', 'graphs', 'greedy_methods', 'hashes', 'knapsack', 'linear_algebra', 'machine_learning', 'maths', 'matrix', 'networking_flow', 'neural_network', 'other', 'physics', 'project_euler', 'pyproject.toml', 'quantum', 'requirements.txt', 'scheduling', 'scripts', 'searches', 'sorts', 'strings', 'web_programming']"
rust-lang/rust,75120,75120,10090,"['rust', 'compiler', 'language', 'hacktoberfest']",9365,211883,"['A-abi', 'A-allocators', 'A-array', 'A-associated-items', 'A-async-await', 'A-atomic', 'A-attributes', 'A-auto-traits', 'A-bootstrap', 'A-borrow-checker', 'A-catch', 'A-clippy', 'A-closures', 'A-code-coverage', 'A-codegen', 'A-coercions', 'A-collections', 'A-concurrency', 'A-const-eval', 'A-const-fn', 'A-const-generics', 'A-contributor-roadblock', 'A-control-flow', 'A-cranelift', 'A-cross', 'A-cross-crate-reexports', 'A-debuginfo', 'A-destructors', 'A-diagnostics', 'A-doc-alias', 'A-doc-coverage', 'A-docs', 'A-doctests', 'A-driver', 'A-dst', 'A-edition-2018-lints', 'A-edition-2021', 'A-error-codes', 'A-error-handling', 'A-exhaustiveness-checking', 'A-ffi', 'A-floating-point', 'A-fmt', 'A-frontend', 'A-gcc', 'A-generators', 'A-github-actions', 'A-grammar', 'A-HAIR', 'A-hir', 'A-impl-trait', 'A-implied-bounds', 'A-incr-comp', 'A-inference', 'A-inline-assembly', 'A-intra-doc-links', 'A-intrinsics', 'A-io', 'A-iterators', 'A-lang-item', 'A-layout', 'A-lazy-normalization', 'A-libtest', 'A-licensing', 'A-lifetimes', 'A-linkage', 'A-lint', 'A-LLVM', 'A-local-reexports', 'A-lto', 'A-macros', 'A-macros-1.2', 'A-macros-2.0', 'A-markdown-parsing', 'A-meta', 'A-metadata', 'A-mir', 'A-mir-opt', 'A-mir-opt-inlining', 'A-mir-opt-nrvo', 'A-mir-validate', 'A-miri', 'A-naked', 'A-NLL', 'A-parallel-queries', 'A-parser', 'A-patterns', 'A-pin', 'A-plugin', 'A-polymorphization', 'A-pretty', 'A-proc-macro-back-compat', 'A-proc-macros', 'A-process', 'A-query-system', 'A-raw-pointers', 'A-reproducibility', 'A-resolve', 'A-result-option', 'A-rls', 'A-runtime', 'A-rust-2018-preview', 'A-rustdoc-js', 'A-rustdoc-json', 'A-rustdoc-scrape-examples', 'A-rustdoc-search', 'A-rustdoc-themes', 'A-rustdoc-type-layout', 'A-rustdoc-ui', 'A-rustfmt', 'A-sanitizers', 'A-save-analysis', 'A-security', 'A-self-profile', 'A-simd', 'A-slice', 'A-slice-patterns', 'A-specialization', 'A-spurious', 'A-stability', 'A-stack-probe', 'A-str', 'A-strict-provenance', 'A-suggestion-diagnostics', 'A-syntaxext', 'A-synthetic-impls', 'A-target-specs', 'A-technical-debt', 'A-testsuite', 'A-thread', 'A-thread-locals', 'A-time', 'A-traits', 'A-translation', 'A-type-based-search', 'A-typesystem', 'A-unicode', 'A-valtree', 'A-variance', 'A-visibility', 'A-zst', 'april-1st', 'AsyncAwait-Polish', 'AsyncAwait-Triaged', 'B-RFC-approved', 'B-RFC-implemented', 'B-unstable', 'beta-accepted', 'beta-nominated', 'C-bug', 'C-cleanup', 'C-discussion', 'C-enhancement', 'C-feature-accepted', 'C-feature-request', 'C-future-compatibility', 'C-tracking-issue', 'chalk-integration', 'const-generics-bad-diagnostics', 'const-generics-blocking', 'const-generics-fixed-by-const_generics', 'const-generics-fixed-by-min_const_generics', 'const-hack', 'D-confusing', 'D-crate-version-mismatch', 'D-edition', 'D-inconsistent', 'D-incorrect', 'D-invalid-suggestion', 'D-newcomer-roadblock', 'D-papercut', 'D-terse', 'D-verbose', 'disposition-close', 'disposition-merge', 'disposition-postpone', 'E-easy', 'E-hard', 'E-help-wanted', 'E-medium', 'E-mentor', 'E-needs-bisection', 'E-needs-mcve', 'E-needs-mentor', 'E-needs-test', 'F-abi_c_cmse_nonsecure_call', 'F-adt_const_params', 'F-arbitrary_self_types', 'F-asm', 'F-associated_const_equality', 'F-associated_type_bounds', 'F-associated_type_defaults', 'F-async_closures', 'F-async_fn_in_trait', 'F-auto_traits', 'F-bindings_after_at', 'F-c_unwind', 'F-c_variadic', 'F-cfg_accessible', 'F-cfg_version', 'F-cmse_nonsecure_entry', 'F-coerce_unsized', 'F-collapse_debuginfo', 'F-const_async_blocks', 'F-const_extern_fn', 'F-const_generics', 'F-const_generics_defaults', 'F-const_mut_refs', 'F-const_trait_impl', 'F-constrained_naked', 'F-custom_test_frameworks', 'F-debugger_visualizer', 'F-decl_macro', 'F-destructuring_assignment', 'F-dispatch_from_dyn', 'F-doc_auto_cfg', 'F-doc_cfg', 'F-dropck_eyepatch', 'F-dyn_star', 'F-exclusive_range_pattern', 'F-exhaustive_patterns', 'F-extended_key_value_attributes', 'F-extern_types', 'F-external_doc', 'F-fixed-by-type_alias_impl_trait', 'F-format_implicit_args', 'F-generator_clone', 'F-generators', 'F-generic_arg_infer', 'F-generic_associated_types', 'F-generic_associated_types_extended', 'F-generic_const_exprs', 'F-half_open_range_patterns', 'F-if_let_guard', 'F-impl_trait_in_bindings', 'F-impl_trait_in_fn_trait_return', 'F-inherent_associated_types', 'F-inline_const', 'F-isa_attribute', 'F-label_break_value', 'F-let_chains', 'F-let-else', 'F-lint_reasons', 'F-lint-single_use_lifetimes', 'F-macro-metavar-expr', 'F-marker_trait_attr', 'F-member_constraints', 'F-min_const_generics', 'F-move_ref_pattern', 'F-negative_impls', 'F-never_type', 'F-no_core', 'F-non_ascii_idents', 'F-non_exhaustive', 'F-non_exhaustive_omitted_patterns_lint', 'F-object_safe_for_dispatch', 'F-on_unimplemented', 'F-or_patterns', 'F-param_attrs', 'F-pub_macro_rules', 'F-raw_dylib', 'F-raw_ref_op', 'F-re_rebalance_coherence', 'F-refine', 'F-relaxed_struct_unsize', 'F-reserved_prefixes', 'F-return_position_impl_trait_in_trait', 'F-rustc_attrs', 'F-simd_ffi', 'F-slice_patterns', 'F-specialization', 'F-target_feature_11', 'F-thread_local', 'F-track_caller', 'F-trait_alias', 'F-trait_upcasting', 'F-try_blocks', 'F-try_trait_v2', 'F-type_alias_impl_trait', 'F-type_ascription', 'F-type-changing-struct-update', 'F-unboxed_closures', 'F-unsafe-block-in-unsafe-fn', 'F-unsized_fn_params', 'F-unsized_locals', 'F-untagged_unions', 'F-variant_count', 'final-comment-period', 'finished-final-comment-period', 'fixed-by-chalk', 'fixed-by-thir-unsafeck', 'GATs-blocking', 'GATs-triaged', 'glacier', 'I-async-nominated', 'I-compilemem', 'I-compiler-nominated', 'I-compiletime', 'I-crash', 'I-hang', 'I-heavy', 'I-ICE', 'I-lang-nominated', 'I-libs-api-nominated', 'I-libs-nominated', 'I-monomorphization', 'I-needs-decision', 'I-prioritize', 'I-slow', 'I-style-nominated', 'I-types-nominated', 'I-unsound', 'ICEBreaker-Cleanup-Crew', 'ICEBreaker-LLVM', 'lang-team-202x-edition', 'Libs-Small', 'Libs-Tracked', 'link-dead-code', 'llvm-main', 'merged-by-bors', 'metabug', 'needs-fcp', 'needs-rfc', 'NLL-complete', 'NLL-diagnostics', 'NLL-fixed-by-NLL', 'NLL-performant', 'NLL-polonius', 'NLL-reference', 'NLL-sound', 'O-AArch64', 'O-android', 'O-Arm', 'O-asmjs', 'O-AVR', 'O-bare-metal', 'O-dragonfly', 'O-freebsd', 'O-fuchsia', 'O-guix', 'O-ios', 'O-linux', 'O-macos', 'O-MIPS', 'O-msp430', 'O-musl', 'O-netbsd', 'O-NixOS', 'O-NVPTX', 'O-openbsd', 'O-PowerPC', 'O-redox', 'O-riscv', 'O-SGX', 'O-solaris', 'O-SPARC', 'O-SystemZ', 'O-UEFI', 'O-unix', 'O-wasm', 'O-watchos', 'O-windows', 'O-windows-gnu', 'O-windows-msvc', 'O-x32', 'O-x86', 'O-x86_64', 'P-critical', 'P-high', 'P-low', 'P-medium', 'perf-regression', 'perf-regression-triaged', 'PG-error-handling', 'PG-exploit-mitigations', 'PG-portable-simd', 'proposed-final-comment-period', 'regression-from-stable-to-beta', 'regression-from-stable-to-nightly', 'regression-from-stable-to-stable', 'regression-untriaged', 'relnotes', 'relnotes-perf', 'requires-debug-assertions', 'requires-nightly', 'rollup', 'rust-2-breakage-wishlist', 'S-blocked', 'S-bug-has-mcve', 'S-bug-has-test', 'S-experimental', 'S-inactive', 'S-tracking-design-concerns', 'S-tracking-impl-incomplete', 'S-tracking-needs-deep-research', 'S-tracking-needs-design-proposal', 'S-tracking-needs-summary', 'S-tracking-needs-to-bake', 'S-tracking-perma-unstable', 'S-tracking-ready-to-stabilize', 'S-tracking-remove-implementation', 'S-tracking-unimplemented', 'S-types-deferred', 'S-types-tracked', 'S-waiting-on-ACP', 'S-waiting-on-author', 'S-waiting-on-bikeshed', 'S-waiting-on-bors', 'S-waiting-on-crater', 'S-waiting-on-fcp', 'S-waiting-on-perf', 'S-waiting-on-review', 'S-waiting-on-team', 'stable-accepted', 'stable-nominated', 'T-cargo', 'T-community', 'T-compiler', 'T-core', 'T-crates-io', 'T-dev-tools', 'T-docs-rs', 'T-infra', 'T-lang', 'T-libs', 'T-libs-api', 'T-release', 'T-rustdoc', 'T-style', 'T-types', 'thir-unsafeck', 'to-announce', 'WG-async', 'WG-codegen', 'WG-compiler-parallel', 'WG-compiler-performance', 'wg-debugging', 'WG-diagnostics', 'WG-embedded', 'WG-epoch', 'WG-incr-comp', 'WG-nll', 'WG-none', 'WG-project-const-generics', 'WG-project-ffi-unwind', 'WG-trait-system-refactor', 'WG-traits']","['.editorconfig', '.git-blame-ignore-revs', '.gitattributes', '.github', '.gitignore', '.gitmodules', '.mailmap', '.reuse', 'CODE_OF_CONDUCT.md', 'CONTRIBUTING.md', 'COPYRIGHT', 'Cargo.lock', 'Cargo.toml', 'LICENSE-APACHE', 'LICENSE-MIT', 'LICENSES', 'README.md', 'RELEASES.md', 'compiler', 'config.toml.example', 'configure', 'library', 'rustfmt.toml', 'src', 'triagebot.toml', 'x', 'x.ps1', 'x.py']"
JuliaLang/julia,41059,41059,5039,"['julia-language', 'julia', 'scientific', 'hpc', 'numerical', 'machine-learning', 'programming-language', 'science', 'hacktoberfest']",4315,53226,"['32-bit', 'apple silicon', 'apple silicon rosetta', 'arm', 'arrays', 'artifacts', 'asan trophy case', 'backport 1.6', 'backport 1.8', 'backport 1.9', 'bignums', 'breaking', 'broadcast', 'bugfix', 'build', 'ci', 'cmd', 'codegen', 'collections', 'compiler plugins', 'complex', 'dates', 'decision', 'deprecation', 'design', 'display and printing', 'DO NOT MERGE', 'doc', 'docsystem', ""don't squash"", 'effects', 'embarrassing-bugfix', 'embedding', 'equality', 'error handling', 'error messages', 'excision', 'existential crisis', 'experimental', 'external dependencies', 'feature', 'ffi', 'filesystem', 'float16', 'fold', 'forget me not', 'freebsd', 'GC', 'gpu', 'Hacktoberfest', 'hashing', 'heisenbug', 'I/O', 'inference', 'interpreter', 'iteration', 'julep', 'Kernel Bug 🤯', 'keyword arguments', 'latency', 'libgit2', 'linalg triage', 'linear algebra', 'linux', 'llvm', 'logging', 'lowering', 'mac', 'macros', 'markdown', 'maths', 'merge me', 'minor change', 'missing data', 'modules', 'MS-DOS', 'multithreading', 'musl', 'needs compat annotation', 'needs docs', 'needs more info', 'needs nanosoldier run', 'needs news', 'needs pkgeval', 'needs tests', 'optimizer', 'packages', 'parallel', 'parser', 'performance', 'potential benchmark', 'power', 'precompile', 'priority', 'profiler', 'ranges', 'rationals', 're-land', 'regression', 'release', 'REPL', 'revert', 'RNG', 'rr trace included', 'rr trace wanted', 'search & find', 'security', 'simd', 'Sockets', 'sort', 'spam', 'sparse', 'speculative', 'statistics', 'stdlib', 'stdlib JLLs', 'strings', 'test', 'testsystem', 'TOML', 'tooling', 'traits', 'triage', 'types and dispatch', 'unicode', 'upstream', 'waiting for author', 'wasm', 'windows', 'wine', ""won't change"", '😃🍕 and other emoji']","['.buildkite-external-version', '.clang-format', '.codecov.yml', '.devcontainer', '.git-blame-ignore-revs', '.gitattributes', '.github', '.gitignore', '.mailmap', 'CITATION.bib', 'CITATION.cff', 'CONTRIBUTING.md', 'HISTORY.md', 'LICENSE.md', 'Make.inc', 'Makefile', 'NEWS.md', 'README.md', 'THIRDPARTY.md', 'VERSION', 'base', 'cli', 'contrib', 'deps', 'doc', 'etc', 'julia.spdx.json', 'src', 'stdlib', 'sysimage.mk', 'test']"
freeCodeCamp/freeCodeCamp,357860,357860,30538,"['learn-to-code', 'nonprofits', 'programming', 'nodejs', 'react', 'd3', 'careers', 'education', 'teachers', 'javascript', 'certification', 'curriculum', 'math', 'community', 'freecodecamp', 'hacktoberfest']",189,31967,"['bookmark', 'crowdin-sync', 'first timers only', 'other: bike shedding', 'other: decayed', 'other: device specific', 'platform: api', 'platform: chat', 'platform: client', 'platform: coderadio', 'platform: forum', 'platform: news', 'platform: search', 'platform: YouTube', 'renovate', 'scope: a11y', 'scope: curriculum', 'scope: docs', 'scope: i18n', 'scope: tools/scripts', 'scope: UI', 'spam', 'status: blocked', 'status: discussing', 'status: merge conflict', 'status: on the roadmap', 'status: resolved/shipping', 'status: waiting review', 'status: waiting triage', 'status: waiting update', 'status: wontfix', 'status: work in progress', 'type: bug', 'type: DevOps', 'type: feature request', 'type: showstopper']","['.dockerignore', '.editorconfig', '.eslintignore', '.eslintrc.json', '.gitattributes', '.github', '.gitignore', '.gitpod.yml', '.husky', '.lintstagedrc.js', '.npmrc', '.prettierignore', '.prettierrc', 'CODE_OF_CONDUCT.md', 'CONTRIBUTING.md', 'LICENSE.md', 'README.md', 'api-server', 'babel.config.js', 'client', 'config', 'curriculum-server', 'curriculum', 'cypress-install.js', 'cypress-install.sh', 'cypress.config.js', 'cypress', 'docker', 'docs', 'jest.config.js', 'jest.setup.js', 'jest.transform.js', 'package-lock.json', 'package.json', 'renovate.json', 'sample.env', 'tools', 'tsconfig-base.json', 'tsconfig.json', 'utils', 'web']"
numpy/numpy,22114,22114,7572,"['numpy', 'python', 'closember']",2176,30975,"['00 - Bug', '01 - Enhancement', '03 - Maintenance', '04 - Documentation', '05 - Testing', '06 - Regression', '07 - Deprecation', '08 - Backport', '09 - Backport-Candidate', '10 - Forwardport-Candidate', '14 - Release', '15 - Discussion', '16 - Development', '17 - Task', '23 - Wish List', '24 - PyPy', '25 - WIP', '26 - Compiler', '28 - Benchmark', '29 - Intel/Anaconda', '30 - API', '31 - Third-party binaries', '32 - Installation', '33 - Question', '34 - Reversion', '35 - How-To candidate', '36 - Build', '37 - Gitpod', '38 - Cross compilation', '50 - Duplicate', '51 - In progress', '52 -  Inactive', '53 - Invalid', '54 - Needs decision', '55 - Needs work', '56 - Needs Release Note.', '57 - Close?', '58 - Ready for review', '59 - Needs tests', '60 - Major release', '62 - Python API', '63 - C API', '64 - Good Idea', 'Bounty', 'C++', 'component: __array_function__', 'component: benchmarks', 'component: build', 'component: CI', 'component: contributing guide', 'component: distribution', 'component: documentation', 'component: NEP', 'component: npy_math', 'component: numpy.array_api', 'component: numpy.core', 'component: numpy.ctypes', 'component: numpy.datetime64', 'component: numpy.distutils', 'component: numpy.dtype', 'component: numpy.einsum', 'component: numpy.f2py', 'component: numpy.fft', 'component: numpy.lib', 'component: numpy.linalg', 'component: numpy.ma', 'component: numpy.matrixlib', 'component: numpy.polynomial', 'component: numpy.random', 'component: numpy.testing', 'component: numpy.ufunc', 'component: Other', 'component: SIMD', 'component: swig', 'defunct — difficulty: Intermediate', 'Dependencies', 'Embedded', 'Meson', 'Patch', 'Priority: high', 'Priority: low', 'Project', 'Proposal', 'sprintable', 'Static typing', 'Tracking / planning', 'triage review', 'triaged']","['.circleci', '.cirrus.star', '.clang-format', '.codecov.yml', '.coveragerc', '.ctags.d', '.devcontainer', '.gitattributes', '.github', '.gitignore', '.gitmodules', '.gitpod.yml', '.hadolint.yaml', '.lgtm.yml', '.mailmap', '.travis.yml', 'CITATION.bib', 'INSTALL.rst', 'LICENSE.txt', 'LICENSES_bundled.txt', 'MANIFEST.in', 'README.md', 'THANKS.txt', 'azure-pipelines.yml', 'azure-steps-windows.yml', 'benchmarks', 'branding', 'build_requirements.txt', 'building_with_meson.md', 'dev.py', 'doc', 'doc_requirements.txt', 'environment.yml', 'generate_version.py', 'linter_requirements.txt', 'meson.build', 'meson_options.txt', 'numpy', 'pavement.py', 'pyproject.toml', 'pytest.ini', 'release_requirements.txt', 'runtests.py', 'setup.cfg', 'setup.py', 'site.cfg.example', 'test_requirements.txt', 'tools', 'tox.ini', 'versioneer.py']"
ipython/ipython,15600,15600,4401,"['ipython', 'jupyter', 'data-science', 'notebook', 'python', 'repl', 'closember', 'hacktoberfest']",1552,26177,"[""8.0 what's new"", 'api-review', 'arch-review', 'async/await', 'autosuggestions', 'backported', 'closed-pr', 'core', 'debugger', 'deprecation/removal', 'design-review', 'Docathon', 'external-software-interaction', 'Hacktoberfest', 'hacktoberfest-accepted', 'important', 'ipep', 'kernel', 'magics', 'matplotlib', 'msg-spec', 'nbconvert', 'needs-decision', 'needs-info', 'notebook', 'Numfocus SDG 2021', 'osx', 'parallel', 'qtconsole', 'R', 'regression', 'security', 'spam', 'Still Needs Manual Backport', 'tab-completion', 'testing', 'UI', 'unicode', 'widgets', 'windows', 'zmq-console']","['.editorconfig', '.flake8', '.git-blame-ignore-revs', '.gitattributes', '.github', '.gitignore', '.mailmap', '.meeseeksdev.yml', '.pre-commit-config.yaml', 'CONTRIBUTING.md', 'COPYING.rst', 'IPython', 'LICENSE', 'MANIFEST.in', 'README.rst', 'SECURITY.md', 'appveyor.yml', 'codecov.yml', 'docs', 'examples', 'long_description.rst', 'mypy.ini', 'pyproject.toml', 'pytest.ini', 'readthedocs.yml', 'scripts', 'setup.cfg', 'setup.py', 'setupbase.py', 'tools']"
scipy/scipy,10546,10546,4495,"['python', 'scipy', 'algorithms', 'closember', 'scientific-computing']",1708,29130,"['3rd party binaries', 'backport-candidate', 'Benchmarks', 'Branding', 'Build issues', 'C/C++', 'CI', 'Cython', 'defect', 'deprecated', 'Documentation', 'DX', 'Fortran', 'github', 'gitpod', 'maintenance', 'Meson', 'Migrated from Trac', 'needs-champion', 'needs-decision', 'needs-release-notes', 'needs-work', 'Official binaries', 'prio-high', 'prio-highest', 'prio-low', 'prio-lowest', 'prio-normal', 'Pythran', 'query', 'review', 'SciPEP', 'scipy._lib', 'scipy.cluster', 'scipy.constants', 'scipy.datasets', 'scipy.fft', 'scipy.fftpack', 'scipy.integrate', 'scipy.interpolate', 'scipy.io', 'scipy.linalg', 'scipy.misc', 'scipy.ndimage', 'scipy.odr', 'scipy.optimize', 'scipy.signal', 'scipy.sparse', 'scipy.sparse.csgraph', 'scipy.sparse.linalg', 'scipy.spatial', 'scipy.special', 'scipy.stats', 'scipy.weave', 'special-docs-marathon', 'sprint', 'static typing', 'task', 'technically infeasible', 'uarray', 'upstream bug', 'Website']","['.circleci', '.cirrus.star', '.coveragerc', '.gitattributes', '.github', '.gitignore', '.gitmodules', '.gitpod.yml', '.hadolint.yaml', '.mailmap', 'CITATION.bib', 'CONTRIBUTING.rst', 'HACKING.rst.txt', 'INSTALL.rst.txt', 'LICENSE.txt', 'LICENSES_bundled.txt', 'MANIFEST.in', 'README.rst', 'azure-pipelines.yml', 'benchmarks', 'ci', 'codecov.yml', 'dev.py', 'doc', 'doc_requirements.txt', 'environment.yml', 'meson.build', 'meson_options.txt', 'mypy.ini', 'mypy_requirements.txt', 'pavement.py', 'pyproject.toml', 'pytest.ini', 'runtests.py', 'scipy', 'setup.py', 'site.cfg.example', 'tools', 'tox.ini']"
