repo,stargazers,watchers,forks,topics,issues,commits,unique labels,content files
ianmcloughlin/quantum-computing,0,0,0,[],0,12,[],"['.dockerignore', '.gitignore', 'Dockerfile', 'README.md', 'bell.ipynb', 'deutsch.ipynb', 'docker-compose.yml', 'random_function.ipynb', 'requirements.txt', 'theory.ipynb', 'qiskit-textbook/01-introduction.ipynb']"
keshavs0305/Quantum-Grovers-RNG_Qsharp,0,0,0,[],0,2,[],"['2qubits_grovers_Q#.ipynb', 'quantum_rng.ipynb']"
v41bh4v/Qiskit_Slack-_Challenge,0,0,0,[],0,6,[],"['8side_dice_.ipynb', 'Flip_coin.ipynb', 'README.md']"
v41bh4v/Qiskit_Slack-_Challenge,0,0,0,[],0,6,[],"['8side_dice_.ipynb', 'Flip_coin.ipynb', 'README.md']"
lucas-oliveira/quantum-parallelism,0,0,0,[],0,1,[],"['Deutsch-v1.ipynb', 'Teste notebook qiskit.ipynb', 'deutsch.py', 'exemplo1.py', '.ipynb_checkpoints/Deutsch-v1-checkpoint.ipynb', '.ipynb_checkpoints/Teste notebook qiskit-checkpoint.ipynb']"
lfd/TAQO-PAM_Hackathon,1,1,1,[],0,1,[],"['.gitignore', 'Dockerfile', 'LICENSE', 'README.md', 'hackathon.ipynb', 'requirements.txt', 'run.sh', 'Scripts/CircuitGeneration.py', 'Scripts/TopologyGenerator.py', 'pics/QAOA_schematic.png', 'pics/qaoa_maxcut.svg', 'couplings/IBMQ/brooklyn_coupling.txt', 'couplings/IBMQ/mumbai_coupling.txt', 'couplings/IBMQ/washington_coupling.txt', 'couplings/Rigetti/AspenM1.txt']"
Qottmann/Quantum-anomaly-detection,18,18,2,[],0,147,[],"['.gitignore', 'LICENSE', 'QAEAnsatz_scaling-MPS.py', 'QAEAnsatz_scaling.ipynb', 'README.md', 'jakarta_antiferro_execute.ipynb', 'main.ipynb', 'paper_figures.ipynb', 'qae.py', 'data/BH_MPS.npy', 'data/BH_MPS_L10_logV.npy', 'data/BH_MPS_L11_logV_25x25.npy', 'data/BH_MPS_L12_logV_50x50.npy', 'data/QAEAnsatz_scaling_MPS_script_L-32_tracked-losses_results.npz', 'data/QAEAnsatz_scaling_losses.npz', 'data/VQE_Ising_L5_anti_-1_50x50_thetas-loss-cost.npz', 'data/VQE_Ising_L5_anti_-1_50x50_thetas-loss-cost2.npz', 'data/VQE_Ising_L5_anti_-1_50x50_thetas-loss-cost_cobyla.npz', 'data/VQE_Ising_L5_anti_-1_50x50_thetas-loss-cost_vary-training-states.npz', 'data/ibmq_antiferro-1D-load_bogota-optimize-20points_thetas-loss-cost_run1.npz', 'data/ibmq_antiferro-1D-load_bogota-optimize-20points_thetas-loss-cost_run2.npz', 'data/ibmq_antiferro-1D-load_bogota-optimize-20pointsexecuted_mags-Es.npz', 'data/ibmq_antiferro-1D-load_simu_thetas-loss-cost_run1.npz', 'data/ibmq_antiferro-1D-load_simu_thetas-loss-cost_run2.npz', 'data/ibmq_antiferro-2D_load-AD_10x10_mags-Es.npz', 'data/ibmq_antiferro-2D_load-AD_10x10_noisy-rome-simu_thetas-loss-cost_run1.npy', 'data/ibmq_antiferro-2D_load-AD_10x10_thetas-loss-cost.npz', 'data/ibmq_antiferro-2D_load-AD_10x10_thetas-loss-cost_run1.npy', 'data/ibmq_antiferro-2D_load-AD_10x10_thetas-loss-cost_run2.npy', 'data/ibmq_antiferro-2D_load-AD_10x10_thetas-loss-cost_run3.npy', 'data/ibmq_antiferro-2D_load-AD_mags-Es.npz', 'data/ibmq_ferro-1D-load-AD_mags-Es.npz', 'data/ibmq_ferro-1D-load-AD_rome-mitigate_mags-Es.npz', 'data/ibmq_ferro-1D-load-AD_rome_mags-Es.npz', 'data/ibmq_ferro-1D-load-AD_simu_mags-Es.npz', 'data/ibmq_ferro-1D-load-AD_simu_thetas-loss-cost_run1.npz', 'data/ibmq_ferro-1D-load-AD_simu_thetas-loss-cost_run2.npz', 'data/jakarta_execute_executed_-real-device-True.npz', 'data/jakarta_executerun1_device.npz', 'data/jakarta_executerun1_device2.npz', 'data/jakarta_executerun1_executed-True.npz', 'data/jakarta_executerun1_sim.npz', 'data/jakarta_executerun1_sim2.npz', 'data/jakarta_executerun1_thetas_opt.npz', 'data/jakarta_executerun1_thetas_opt_device.npz', 'data/jakarta_executerun1_thetas_opt_device2.npz', 'data/jakarta_executerun1_thetas_opt_sim.npz', 'data/jakarta_executerun1_thetas_opt_sim2.npz', 'data/jakarta_executerun2_device.npz', 'data/jakarta_executerun2_device_overnight.npz', 'data/jakarta_executerun2_executed-True.npz', 'data/jakarta_executerun2_sim.npz', 'data/jakarta_executerun2_sim2.npz', 'data/jakarta_executerun2_thetas_opt (copy).npz', 'data/jakarta_executerun2_thetas_opt_device_overnight.npz', 'data/jakarta_executerun2_thetas_opt_sim.npz', 'data/jakarta_executerun2_thetas_opt_sim2.npz', 'data/main_thetas-loss-cost_run1.npy', 'data/main_thetas-loss-cost_run2.npy', 'data/main_thetas-loss-cost_run3.npy', 'data/mainraw-vs-mitigated-counts.npz', 'data/noisy_VQE_maxiter-100_Ising_L5_anti_-1_20_recycle.npz', 'data/noisy_VQE_maxiter-500_Ising_L5_anti_-1_20.npz', 'data/noisy_rome_simu_VQE_maxiter-500_Ising_L5_anti_-1_10x10.npz', 'data/params_VQE_Ising_L5_anti_-1_50x50.npz', 'data/params_VQE_Ising_L5_anti_-1_50x50_1e-3.npz', 'data/params_VQE_Ising_L5_anti_-1_50x50_1e-3_mags-Es.npz', 'data/params_VQE_Ising_L5_anti_-1_50x50_backwards.npz', 'data/params_VQE_Ising_L5_anti_-1_50x50_mags-Es.npz', 'data/params_VQE_Ising_L5_anti_1_30_noiseless-simulation.npz', 'data/params_VQE_Ising_L5_anti_1_30_noisy-simulation.npz', 'data/params_VQE_Ising_L5_anti_1_50x50.npz', 'data/params_VQE_Ising_L5_anti_N_reps1_gz0.001.npz', 'data/params_VQE_Ising_L6_anti_-1.npz', 'data/params_VQE_Ising_L6_anti_1.npz', 'data/wf_BH_L10_logV.npz', 'data/wf_BH_L11_logV_25x25.npz', 'data/wf_BH_L12_logV_50x50.npz', 'experiments/ibmq_antiferro-1D_load-AD-bogota-no-optimize.ipynb', 'experiments/ibmq_antiferro-1D_load-AD-bogota-optimize-20-points_run1.ipynb', 'experiments/ibmq_antiferro-1D_load-AD-bogota-optimize-7-points_run2.ipynb', 'experiments/ibmq_antiferro-1D_load-AD-bogota-testsimu.ipynb', 'experiments/ibmq_antiferro-1D_rome-magnetization.ipynb', 'modules/utils.py', 'notebooks/KK_ibmq_single_jobs-rome-open.ipynb', 'notebooks/KK_ibmq_single_jobs.ipynb', 'notebooks/KK_meas-error-mitigation.ipynb', 'notebooks/main_VQE_Antiferro-more-tests-Ansatz.ipynb', 'notebooks/main_VQE_Antiferro-more-tests-Copy1.ipynb', 'notebooks/main_VQE_Antiferro-more-tests.ipynb', 'notebooks/qiskit_matrix_product_state.ipynb', 'old code/IsingTF.py', 'old code/KK_Opflow.ipynb', 'old code/NB_Opflow.ipynb', 'old code/noisy.py', 'plots/BH_ex_for_presentation.png', 'plots/BH_paper.pdf', 'plots/BH_replot.pdf', 'plots/BH_replot2.pdf', 'plots/antiferro2D.pdf', 'plots/antiferro2D_bigger.pdf', 'plots/antiferro2D_paper.pdf', 'plots/counts_mitigated-vs-raw.pdf', 'plots/counts_mitigated-vs-raw.png', 'plots/ibmq_antiferro-1D-load_bogota-optimize-20points_mainplot.pdf', 'plots/ibmq_antiferro-1D-load_bogota-optimize-20points_mainplot.png', 'plots/ibmq_antiferro-1D-load_simurun2.pdf', 'plots/ibmq_antiferro-1D-load_simurun2.png', 'plots/qsim_params_VQE_Ising_L5_anti_1_6magnetization.png', 'plots/qsim_params_VQE_Isingmagnetization.png', 'plots/temp_compare-bogota-rome_vqe-vals-from-noisy-rome-simulation.png', 'plotting/BH_figures.ipynb', 'plotting/ISING_figures-jakarta.ipynb', 'plotting/ISING_figures.ipynb', 'simulations/BH_DMRG.ipynb', 'simulations/BH_DMRG.py', 'simulations/main_VQE_Antiferro.ipynb', 'simulations/qae-from-vqe.ipynb', 'simulations/qae.ipynb', 'data/QAEAnsatz_scaling/QAEAnsatz_scaling_MPS_script_L-32_results.npz', 'modules/__pycache__/utils.cpython-37.pyc', 'notebooks/old/KK_ibmq.ipynb', 'notebooks/old/KK_prepare_circ.ipynb', 'notebooks/old/KK_q-simulation.ipynb', 'data/BH_phase-diagrams-and-loss/__MACOSX/._data_rike', 'data/BH_phase-diagrams-and-loss/data_rike/.DS_Store', 'data/BH_phase-diagrams-and-loss/data_rike/cost_bh_L12_trash2_d48_v5_seed17.npy', 'data/BH_phase-diagrams-and-loss/data_rike/cost_bh_L12_trash4_d25_v47_seed16.npy', 'data/BH_phase-diagrams-and-loss/data_rike/cost_bh_L12_trash6_d10_v10_seed22.npy', 'data/BH_phase-diagrams-and-loss/data_rike/dd.npy', 'data/BH_phase-diagrams-and-loss/data_rike/es.npy', 'data/BH_phase-diagrams-and-loss/data_rike/x.npy', 'data/BH_phase-diagrams-and-loss/data_rike/y.npy', 'data/BH_phase-diagrams-and-loss/__MACOSX/data_rike/._.DS_Store', 'data/BH_phase-diagrams-and-loss/__MACOSX/data_rike/._cost_bh_L12_trash2_d48_v5_seed17.npy', 'data/BH_phase-diagrams-and-loss/__MACOSX/data_rike/._cost_bh_L12_trash4_d25_v47_seed16.npy', 'data/BH_phase-diagrams-and-loss/__MACOSX/data_rike/._cost_bh_L12_trash6_d10_v10_seed22.npy', 'data/BH_phase-diagrams-and-loss/__MACOSX/data_rike/._dd.npy', 'data/BH_phase-diagrams-and-loss/__MACOSX/data_rike/._es.npy', 'data/BH_phase-diagrams-and-loss/__MACOSX/data_rike/._x.npy', 'data/BH_phase-diagrams-and-loss/__MACOSX/data_rike/._y.npy']"
abel1231/optimization,1,1,1,[],0,40,[],"['.gitignore', 'README.md', 'plot_result.py', 'portfolio_optimization.py', 'qaoa.py', 'qaoa_ori.py', 'qaoa_qiskit.py', 'qiskit_opt.py', 'qiskit_qaoa_para.py', 'requirements.txt', 'test.py', 'data/stock_data.xlsx', 'out/b2_g1_ly8.out', 'out/b2_g2_ly10.out', 'out/b2_g2_ly6.out', 'out/b2_g2_ly8.out', 'out/b3_g1_ly8.out', 'out/b3_g2_ly10.out', 'out/b3_g2_ly15.out', 'out/b3_g2_ly6.out', 'out/b3_g2_ly8.out', 'out/b4_g1_ly8.out', 'out/b4_g2_ly6.out', 'out/b5_g1_ly8.out', 'out/b5_g2_ly10.out', 'out/b5_g2_ly10_theta1.5.out', 'out/b5_g2_ly15.out', 'out/b5_g2_ly6.out', 'out/b5_g2_ly8.out', 'out/b6_g2_ly10.out', 'out/b6_g2_ly6.out', 'out/b6_g2_ly8.out', 'out/b6_g2_theta2_ly8.out', 'out/b7_g2_ly6.out', 'out/b7_g2_ly8.out', 'out/b8_g2_ly6.out', 'out/b8_g2_ly8.out', 'out/b9_g2_ly6.out', 'out/b9_g2_ly8.out']"
snuffkin/books,1,1,1,[],0,25,[],"['20190414_quantum_computer/README.md', '20190414_quantum_computer/errata.md', '20190727_quantum_computer/README.md', '20190727_quantum_computer/errata.md', '20200307_quantum_computer_vol2/README.md', '20200307_quantum_computer_vol2/errata.md', '20200912_quantum_computer_aws/README.md', '20200912_quantum_computer_aws/errata.md', '20190414_quantum_computer/images/cover.png', '20190414_quantum_computer/images/errata_p17_after.png', '20190414_quantum_computer/images/errata_p17_before.png', '20190414_quantum_computer/images/errata_p35_after.png', '20190414_quantum_computer/images/errata_p35_before.png', '20190414_quantum_computer/images/toc1.png', '20190414_quantum_computer/images/toc2.png', '20190414_quantum_computer/images/toc3.png', '20190414_quantum_computer/notebooks/chapter6.ipynb', '20190414_quantum_computer/notebooks/chapter7.ipynb', '20190414_quantum_computer/notebooks/install_circuit.ipynb', '20190414_quantum_computer/python/chapter6.py', '20190414_quantum_computer/python/chapter7.py', '20190414_quantum_computer/python/install_circuit.py', '20190727_quantum_computer/images/cover.png', '20190727_quantum_computer/images/errata_p17_after.png', '20190727_quantum_computer/images/errata_p17_before.png', '20190727_quantum_computer/images/toc1.png', '20190727_quantum_computer/images/toc2.png', '20190727_quantum_computer/images/toc3.png', '20190727_quantum_computer/notebooks/chapter6.ipynb', '20190727_quantum_computer/notebooks/chapter7.ipynb', '20190727_quantum_computer/notebooks/install_circuit.ipynb', '20190727_quantum_computer/python/chapter6.py', '20190727_quantum_computer/python/chapter7.py', '20190727_quantum_computer/python/install_circuit.py', '20200307_quantum_computer_vol2/images/cover.png', '20200307_quantum_computer_vol2/images/errata_p14_after.png', '20200307_quantum_computer_vol2/images/errata_p14_before.png', '20200307_quantum_computer_vol2/images/errata_p1_after.png', '20200307_quantum_computer_vol2/images/errata_p1_before.png', '20200307_quantum_computer_vol2/images/errata_p36_after.png', '20200307_quantum_computer_vol2/images/errata_p36_before.png', '20200307_quantum_computer_vol2/images/errata_p4_after.png', '20200307_quantum_computer_vol2/images/errata_p4_before.png', '20200307_quantum_computer_vol2/images/errata_p7_after.png', '20200307_quantum_computer_vol2/images/errata_p7_before.png', '20200307_quantum_computer_vol2/images/errata_p8_after.png', '20200307_quantum_computer_vol2/images/errata_p8_before.png', '20200307_quantum_computer_vol2/images/toc1.png', '20200307_quantum_computer_vol2/images/toc2.png', '20200912_quantum_computer_aws/images/cover.png', '20200912_quantum_computer_aws/images/toc1.png', '20200912_quantum_computer_aws/images/toc2.png', '20200912_quantum_computer_aws/images/toc3.png', '20200912_quantum_computer_aws/notebooks/chapter6.ipynb', '20200912_quantum_computer_aws/notebooks/chapter7.ipynb', '20200912_quantum_computer_aws/notebooks/install_circuit.ipynb', '20200912_quantum_computer_aws/python/chapter6.py', '20200912_quantum_computer_aws/python/chapter7.py', '20200912_quantum_computer_aws/python/install_circuit.py']"
eliaslehman/QHack,0,0,0,[],0,23,[],"['.gitignore', 'README.md', 'Part1/README.md', 'Part1/Task1_QuantumOracleQsharp.ipynb', 'Part1/Task2_DeutschAlgorithmQsharpIonQ.ipynb', 'Part1/Task3_QrngQiskitQuantinuum.ipynb', 'Part2/NoiseFinder (2).ipynb', 'Part2/README.ipynb']"
